@relation highlypreprocessed-weka.filters.unsupervised.attribute.StringToNominal-Rlast-weka.filters.unsupervised.attribute.StringToNominal-R6

@attribute id numeric
@attribute account_status {<0,0<=X<200,'no checking',>=200}
@attribute debt_status {'critical/other existing credit',paid,'delayed previously'}
@attribute credit_reason {radio/tv,education,furniture,car,business,repairs,other}
@attribute credit_amount {1K<=X<2K,5K<=X<10K,2K<=X<3K,4K<=X<5K,3K<=X<4K,X>=10K,X<1K}
@attribute savings_amount {0,<100,500<=X<1000,>=1000,100<=X<500}
@attribute employment {>=7,1<=X<4,4<=X<7,unemployed,<1}
@attribute gender:family {'male single','female div/sep/mar','male div/sep','male mar/wid'}
@attribute age {X>=50,X<25,40<=X<50,30<=X<40,25<=X<30}
@attribute job_status {skilled,unskilled,'highly skilled'}
@attribute loan_status {yes,no}

@data
29,0<=X<200,paid,radio/tv,2K<=X<3K,<100,1<=X<4,'male single',30<=X<40,skilled,yes
30,<0,'delayed previously',business,5K<=X<10K,<100,>=7,'male single',X>=50,skilled,no
31,0<=X<200,paid,business,1K<=X<2K,>=1000,<1,'male mar/wid',30<=X<40,skilled,yes
32,<0,paid,furniture,4K<=X<5K,<100,1<=X<4,'male single',25<=X<30,skilled,yes
33,0<=X<200,paid,car,5K<=X<10K,100<=X<500,1<=X<4,'male single',30<=X<40,skilled,yes
34,'no checking','critical/other existing credit',business,1K<=X<2K,0,>=7,'male single',X>=50,unskilled,yes
35,>=200,paid,furniture,1K<=X<2K,<100,<1,'female div/sep/mar',30<=X<40,'highly skilled',yes
36,0<=X<200,'critical/other existing credit',radio/tv,4K<=X<5K,<100,<1,'male single',25<=X<30,unskilled,no
37,'no checking','critical/other existing credit',education,5K<=X<10K,<100,1<=X<4,'male single',30<=X<40,skilled,yes
38,>=200,paid,radio/tv,2K<=X<3K,<100,1<=X<4,'male single',30<=X<40,skilled,no
39,>=200,paid,furniture,1K<=X<2K,<100,1<=X<4,'male single',30<=X<40,skilled,yes
40,0<=X<200,paid,radio/tv,X<1K,<100,1<=X<4,'male single',X<25,skilled,yes
41,'no checking',paid,radio/tv,2K<=X<3K,500<=X<1000,>=7,'male single',30<=X<40,'highly skilled',yes
42,0<=X<200,paid,radio/tv,1K<=X<2K,500<=X<1000,1<=X<4,'male div/sep',25<=X<30,skilled,yes
43,0<=X<200,'delayed previously',repairs,5K<=X<10K,<100,1<=X<4,'male single',40<=X<50,unskilled,yes
44,<0,'critical/other existing credit',car,5K<=X<10K,100<=X<500,4<=X<7,'male mar/wid',X<25,skilled,yes
45,<0,'critical/other existing credit',car,5K<=X<10K,<100,>=7,'female div/sep/mar',X>=50,unskilled,no
46,'no checking','critical/other existing credit',car,1K<=X<2K,<100,<1,'female div/sep/mar',30<=X<40,'highly skilled',yes
47,'no checking',paid,radio/tv,2K<=X<3K,500<=X<1000,>=7,'male single',30<=X<40,skilled,yes
48,<0,paid,car,1K<=X<2K,500<=X<1000,unemployed,'female div/sep/mar',X<25,unskilled,yes
49,'no checking','critical/other existing credit',car,5K<=X<10K,<100,1<=X<4,'male single',30<=X<40,unskilled,yes
50,'no checking',paid,radio/tv,2K<=X<3K,100<=X<500,1<=X<4,'female div/sep/mar',25<=X<30,skilled,yes
51,0<=X<200,'delayed previously',furniture,2K<=X<3K,0,<1,'male single',25<=X<30,unskilled,yes
52,0<=X<200,'delayed previously',car,5K<=X<10K,<100,>=7,'male single',30<=X<40,'highly skilled',yes
53,'no checking',paid,radio/tv,1K<=X<2K,<100,1<=X<4,'male single',25<=X<30,skilled,yes
54,'no checking',paid,car,3K<=X<4K,0,1<=X<4,'male single',30<=X<40,skilled,yes
55,0<=X<200,'delayed previously',car,2K<=X<3K,<100,>=7,'male single',X>=50,skilled,no
56,'no checking',paid,car,X<1K,0,1<=X<4,'male single',25<=X<30,unskilled,yes
57,0<=X<200,paid,radio/tv,5K<=X<10K,0,unemployed,'male single',X>=50,'highly skilled',no
58,'no checking','critical/other existing credit',radio/tv,5K<=X<10K,<100,1<=X<4,'female div/sep/mar',30<=X<40,skilled,yes
59,>=200,paid,car,1K<=X<2K,<100,>=7,'female div/sep/mar',X<25,'highly skilled',yes
60,<0,'critical/other existing credit',furniture,5K<=X<10K,<100,<1,'female div/sep/mar',X<25,unskilled,no
61,0<=X<200,paid,business,1K<=X<2K,<100,1<=X<4,'male mar/wid',25<=X<30,skilled,yes
62,0<=X<200,'critical/other existing credit',radio/tv,1K<=X<2K,0,>=7,'male single',X>=50,skilled,yes
63,0<=X<200,paid,business,1K<=X<2K,<100,>=7,'male single',X>=50,'highly skilled',no
64,0<=X<200,paid,business,X>=10K,<100,1<=X<4,'male single',25<=X<30,skilled,no
66,'no checking',paid,repairs,5K<=X<10K,0,>=7,'male single',40<=X<50,skilled,yes
67,'no checking',paid,radio/tv,2K<=X<3K,<100,<1,'female div/sep/mar',25<=X<30,skilled,yes
68,0<=X<200,paid,car,1K<=X<2K,>=1000,1<=X<4,'male mar/wid',X<25,skilled,yes
69,'no checking',paid,education,1K<=X<2K,<100,1<=X<4,'male single',30<=X<40,skilled,no
70,'no checking',paid,radio/tv,2K<=X<3K,0,1<=X<4,'female div/sep/mar',25<=X<30,skilled,yes
71,'no checking',paid,car,5K<=X<10K,<100,1<=X<4,'female div/sep/mar',30<=X<40,skilled,yes
72,'no checking','critical/other existing credit',radio/tv,X<1K,0,>=7,'male single',40<=X<50,unskilled,yes
73,<0,'critical/other existing credit',other,1K<=X<2K,<100,>=7,'male single',X>=50,'highly skilled',yes
74,0<=X<200,'critical/other existing credit',business,5K<=X<10K,<100,4<=X<7,'female div/sep/mar',40<=X<50,unskilled,yes
75,<0,paid,education,1K<=X<2K,0,>=7,'male single',40<=X<50,'highly skilled',no
76,<0,'critical/other existing credit',car,1K<=X<2K,<100,>=7,'male single',X>=50,'highly skilled',yes
77,<0,paid,radio/tv,3K<=X<4K,<100,<1,'male single',30<=X<40,skilled,no
78,0<=X<200,'delayed previously',radio/tv,4K<=X<5K,<100,4<=X<7,'male single',X>=50,skilled,yes
79,'no checking',paid,car,5K<=X<10K,0,1<=X<4,'male single',30<=X<40,unskilled,yes
80,0<=X<200,paid,furniture,3K<=X<4K,<100,<1,'male mar/wid',X<25,skilled,yes
81,'no checking',paid,radio/tv,5K<=X<10K,0,<1,'female div/sep/mar',40<=X<50,skilled,no
82,'no checking',paid,radio/tv,1K<=X<2K,500<=X<1000,>=7,'male single',40<=X<50,skilled,yes
83,'no checking',paid,business,1K<=X<2K,100<=X<500,1<=X<4,'female div/sep/mar',X<25,unskilled,yes
84,<0,paid,other,1K<=X<2K,<100,>=7,'female div/sep/mar',X>=50,unskilled,yes
85,<0,paid,radio/tv,2K<=X<3K,<100,>=7,'male single',X>=50,unskilled,yes
86,'no checking','critical/other existing credit',business,1K<=X<2K,<100,1<=X<4,'female div/sep/mar',25<=X<30,'highly skilled',yes
87,0<=X<200,'critical/other existing credit',furniture,1K<=X<2K,<100,<1,'female div/sep/mar',25<=X<30,skilled,yes
88,0<=X<200,paid,education,X>=10K,100<=X<500,1<=X<4,'male single',40<=X<50,skilled,no
89,<0,paid,car,2K<=X<3K,100<=X<500,4<=X<7,'male single',30<=X<40,'highly skilled',yes
90,<0,paid,repairs,1K<=X<2K,<100,4<=X<7,'male single',25<=X<30,skilled,no
91,'no checking','critical/other existing credit',radio/tv,X<1K,<100,>=7,'male single',X>=50,skilled,yes
92,<0,'critical/other existing credit',car,1K<=X<2K,<100,>=7,'male single',X>=50,skilled,yes
93,'no checking','critical/other existing credit',radio/tv,X<1K,0,>=7,'female div/sep/mar',30<=X<40,unskilled,no
94,>=200,'critical/other existing credit',furniture,3K<=X<4K,0,>=7,'male single',X<25,skilled,yes
95,0<=X<200,paid,car,1K<=X<2K,>=1000,>=7,'male single',X>=50,skilled,yes
96,0<=X<200,paid,business,X>=10K,<100,<1,'male single',X>=50,skilled,no
97,'no checking','critical/other existing credit',education,2K<=X<3K,0,4<=X<7,'female div/sep/mar',X>=50,skilled,yes
98,0<=X<200,paid,business,2K<=X<3K,100<=X<500,1<=X<4,'male single',30<=X<40,skilled,yes
99,0<=X<200,'critical/other existing credit',radio/tv,2K<=X<3K,<100,>=7,'male single',30<=X<40,skilled,yes
100,0<=X<200,'delayed previously',car,5K<=X<10K,0,4<=X<7,'male single',30<=X<40,'highly skilled',yes
101,'no checking',paid,car,1K<=X<2K,100<=X<500,>=7,'male mar/wid',40<=X<50,unskilled,yes
102,0<=X<200,paid,radio/tv,2K<=X<3K,<100,4<=X<7,'male single',X<25,skilled,yes
103,'no checking','delayed previously',radio/tv,X<1K,<100,1<=X<4,'female div/sep/mar',X<25,skilled,yes
104,0<=X<200,'critical/other existing credit',furniture,1K<=X<2K,<100,4<=X<7,'male single',30<=X<40,skilled,yes
105,'no checking',paid,car,2K<=X<3K,0,<1,'male mar/wid',25<=X<30,skilled,yes
106,0<=X<200,'critical/other existing credit',other,X>=10K,<100,1<=X<4,'male single',30<=X<40,'highly skilled',no
107,'no checking',paid,car,5K<=X<10K,<100,>=7,'male single',30<=X<40,'highly skilled',no
108,0<=X<200,paid,car,5K<=X<10K,<100,4<=X<7,'male single',30<=X<40,skilled,yes
109,<0,paid,furniture,5K<=X<10K,0,<1,'female div/sep/mar',30<=X<40,skilled,yes
110,0<=X<200,paid,business,1K<=X<2K,500<=X<1000,>=7,'male mar/wid',30<=X<40,skilled,yes
111,0<=X<200,'delayed previously',business,1K<=X<2K,100<=X<500,>=7,'male div/sep',30<=X<40,skilled,yes
112,>=200,paid,education,X<1K,<100,<1,'female div/sep/mar',X<25,skilled,yes
113,0<=X<200,paid,car,5K<=X<10K,<100,4<=X<7,'male single',25<=X<30,unskilled,yes
114,'no checking','critical/other existing credit',car,5K<=X<10K,<100,1<=X<4,'female div/sep/mar',25<=X<30,skilled,no
115,<0,paid,radio/tv,1K<=X<2K,500<=X<1000,>=7,'male mar/wid',30<=X<40,skilled,yes
116,'no checking','critical/other existing credit',radio/tv,3K<=X<4K,0,>=7,'male single',40<=X<50,skilled,yes
117,<0,paid,radio/tv,5K<=X<10K,0,4<=X<7,'female div/sep/mar',30<=X<40,'highly skilled',no
118,<0,'critical/other existing credit',furniture,2K<=X<3K,0,<1,'female div/sep/mar',25<=X<30,skilled,yes
119,<0,'critical/other existing credit',furniture,4K<=X<5K,500<=X<1000,1<=X<4,'female div/sep/mar',X<25,skilled,no
120,0<=X<200,'critical/other existing credit',car,2K<=X<3K,500<=X<1000,4<=X<7,'male div/sep',30<=X<40,'highly skilled',yes
121,<0,paid,radio/tv,1K<=X<2K,<100,1<=X<4,'female div/sep/mar',25<=X<30,skilled,no
122,'no checking','critical/other existing credit',car,3K<=X<4K,<100,>=7,'female div/sep/mar',40<=X<50,'highly skilled',yes
123,'no checking',paid,furniture,1K<=X<2K,<100,1<=X<4,'male single',X<25,unskilled,yes
124,>=200,'critical/other existing credit',car,X<1K,<100,>=7,'male single',X>=50,skilled,yes
125,0<=X<200,paid,furniture,1K<=X<2K,0,<1,'female div/sep/mar',25<=X<30,skilled,no
126,<0,'critical/other existing credit',car,2K<=X<3K,<100,1<=X<4,'male single',30<=X<40,skilled,yes
127,<0,paid,radio/tv,X<1K,<100,1<=X<4,'male mar/wid',40<=X<50,unskilled,yes
128,0<=X<200,paid,repairs,X<1K,<100,1<=X<4,'male single',30<=X<40,skilled,no
129,0<=X<200,'critical/other existing credit',car,1K<=X<2K,<100,unemployed,'male single',30<=X<40,'highly skilled',yes
130,<0,'critical/other existing credit',car,3K<=X<4K,<100,1<=X<4,'female div/sep/mar',25<=X<30,skilled,no
131,0<=X<200,paid,car,5K<=X<10K,0,4<=X<7,'female div/sep/mar',X<25,skilled,yes
132,<0,'delayed previously',education,5K<=X<10K,<100,1<=X<4,'male single',25<=X<30,skilled,no
133,'no checking',paid,furniture,2K<=X<3K,<100,<1,'male single',25<=X<30,unskilled,yes
134,'no checking',paid,furniture,1K<=X<2K,<100,1<=X<4,'male single',40<=X<50,skilled,yes
135,'no checking',paid,radio/tv,X>=10K,100<=X<500,4<=X<7,'female div/sep/mar',X<25,skilled,yes
136,'no checking','critical/other existing credit',radio/tv,1K<=X<2K,0,>=7,'female div/sep/mar',30<=X<40,skilled,yes
137,'no checking','delayed previously',car,5K<=X<10K,>=1000,1<=X<4,'male single',25<=X<30,skilled,yes
138,0<=X<200,paid,radio/tv,X<1K,500<=X<1000,1<=X<4,'male single',X>=50,unskilled,no
139,0<=X<200,'critical/other existing credit',radio/tv,2K<=X<3K,0,4<=X<7,'male single',30<=X<40,skilled,yes
140,>=200,paid,radio/tv,1K<=X<2K,<100,1<=X<4,'female div/sep/mar',40<=X<50,unskilled,yes
141,>=200,paid,car,X<1K,>=1000,<1,'male mar/wid',25<=X<30,unskilled,yes
142,0<=X<200,paid,radio/tv,4K<=X<5K,<100,<1,'female div/sep/mar',30<=X<40,'highly skilled',yes
143,<0,paid,radio/tv,3K<=X<4K,<100,1<=X<4,'male single',25<=X<30,'highly skilled',yes
145,'no checking','critical/other existing credit',furniture,2K<=X<3K,<100,<1,'female div/sep/mar',X<25,skilled,yes
146,0<=X<200,paid,business,3K<=X<4K,100<=X<500,4<=X<7,'male single',30<=X<40,skilled,yes
147,<0,'critical/other existing credit',car,X<1K,<100,>=7,'female div/sep/mar',30<=X<40,skilled,yes
148,'no checking','critical/other existing credit',car,X<1K,100<=X<500,4<=X<7,'female div/sep/mar',X>=50,skilled,yes
149,<0,'critical/other existing credit',furniture,5K<=X<10K,<100,1<=X<4,'male single',25<=X<30,skilled,yes
150,'no checking','critical/other existing credit',radio/tv,1K<=X<2K,>=1000,>=7,'male single',40<=X<50,skilled,yes
151,'no checking',paid,radio/tv,1K<=X<2K,100<=X<500,>=7,'male single',40<=X<50,skilled,yes
152,'no checking',paid,radio/tv,1K<=X<2K,<100,1<=X<4,'male single',30<=X<40,skilled,yes
153,>=200,paid,radio/tv,5K<=X<10K,<100,1<=X<4,'male single',X<25,skilled,yes
154,0<=X<200,'critical/other existing credit',car,5K<=X<10K,>=1000,>=7,'female div/sep/mar',25<=X<30,skilled,yes
155,0<=X<200,'delayed previously',business,5K<=X<10K,100<=X<500,4<=X<7,'male single',30<=X<40,'highly skilled',yes
156,<0,paid,furniture,1K<=X<2K,<100,1<=X<4,'female div/sep/mar',X<25,skilled,no
157,<0,'critical/other existing credit',repairs,1K<=X<2K,100<=X<500,>=7,'male single',40<=X<50,skilled,yes
158,<0,paid,other,X<1K,<100,>=7,'male mar/wid',40<=X<50,unskilled,yes
159,0<=X<200,paid,car,3K<=X<4K,100<=X<500,4<=X<7,'male single',30<=X<40,skilled,yes
160,'no checking','critical/other existing credit',radio/tv,1K<=X<2K,0,1<=X<4,'male single',30<=X<40,unskilled,yes
161,'no checking','critical/other existing credit',radio/tv,2K<=X<3K,100<=X<500,>=7,'male single',30<=X<40,skilled,yes
162,'no checking','critical/other existing credit',car,1K<=X<2K,<100,<1,'female div/sep/mar',30<=X<40,skilled,yes
163,'no checking',paid,furniture,1K<=X<2K,500<=X<1000,4<=X<7,'male single',30<=X<40,skilled,yes
164,0<=X<200,paid,car,5K<=X<10K,<100,unemployed,'male single',X>=50,'highly skilled',yes
165,'no checking',paid,car,X<1K,500<=X<1000,>=7,'male single',30<=X<40,skilled,yes
166,'no checking',paid,furniture,2K<=X<3K,500<=X<1000,1<=X<4,'male single',30<=X<40,skilled,yes
167,<0,paid,furniture,1K<=X<2K,<100,unemployed,'female div/sep/mar',30<=X<40,skilled,no
168,0<=X<200,paid,furniture,1K<=X<2K,>=1000,<1,'female div/sep/mar',X<25,skilled,yes
169,'no checking',paid,furniture,3K<=X<4K,<100,4<=X<7,'female div/sep/mar',25<=X<30,skilled,yes
170,0<=X<200,'critical/other existing credit',business,1K<=X<2K,<100,>=7,'male div/sep',30<=X<40,skilled,no
171,<0,paid,car,X<1K,<100,>=7,'male single',30<=X<40,skilled,no
172,'no checking',paid,furniture,X<1K,<100,1<=X<4,'female div/sep/mar',25<=X<30,skilled,yes
173,0<=X<200,'delayed previously',furniture,2K<=X<3K,<100,unemployed,'female div/sep/mar',30<=X<40,'highly skilled',no
174,0<=X<200,paid,radio/tv,1K<=X<2K,<100,1<=X<4,'male single',30<=X<40,skilled,yes
175,<0,'delayed previously',education,3K<=X<4K,<100,<1,'male single',25<=X<30,skilled,no
176,'no checking',paid,car,5K<=X<10K,0,unemployed,'female div/sep/mar',X>=50,'highly skilled',no
177,<0,paid,furniture,2K<=X<3K,<100,1<=X<4,'male div/sep',40<=X<50,skilled,yes
178,<0,'critical/other existing credit',radio/tv,X<1K,500<=X<1000,>=7,'male single',X>=50,skilled,yes
179,'no checking',paid,radio/tv,1K<=X<2K,<100,4<=X<7,'male single',30<=X<40,'highly skilled',yes
180,<0,'critical/other existing credit',car,X<1K,<100,>=7,'male single',X>=50,skilled,yes
181,'no checking','delayed previously',business,5K<=X<10K,<100,<1,'male div/sep',25<=X<30,skilled,no
182,0<=X<200,'delayed previously',business,4K<=X<5K,<100,1<=X<4,'male div/sep',30<=X<40,'highly skilled',no
183,<0,paid,car,1K<=X<2K,0,1<=X<4,'male single',40<=X<50,unskilled,no
184,'no checking','critical/other existing credit',furniture,3K<=X<4K,>=1000,1<=X<4,'male single',X>=50,skilled,yes
185,0<=X<200,'critical/other existing credit',car,X<1K,<100,>=7,'male single',30<=X<40,skilled,no
186,'no checking','critical/other existing credit',radio/tv,1K<=X<2K,<100,1<=X<4,'male single',30<=X<40,skilled,yes
187,0<=X<200,paid,car,5K<=X<10K,<100,>=7,'female div/sep/mar',X>=50,'highly skilled',no
188,0<=X<200,'critical/other existing credit',car,1K<=X<2K,<100,unemployed,'male single',X>=50,unskilled,yes
189,<0,paid,radio/tv,X<1K,100<=X<500,4<=X<7,'male mar/wid',X<25,skilled,no
190,0<=X<200,paid,furniture,3K<=X<4K,<100,1<=X<4,'female div/sep/mar',30<=X<40,skilled,yes
191,'no checking',paid,business,4K<=X<5K,>=1000,1<=X<4,'male single',X>=50,'highly skilled',no
192,0<=X<200,paid,business,3K<=X<4K,100<=X<500,4<=X<7,'male single',30<=X<40,unskilled,no
193,0<=X<200,paid,business,3K<=X<4K,<100,1<=X<4,'male single',30<=X<40,skilled,no
194,'no checking',paid,radio/tv,2K<=X<3K,<100,4<=X<7,'male mar/wid',25<=X<30,skilled,yes
195,0<=X<200,paid,radio/tv,3K<=X<4K,100<=X<500,1<=X<4,'male single',X<25,skilled,no
196,0<=X<200,'critical/other existing credit',education,1K<=X<2K,<100,>=7,'female div/sep/mar',30<=X<40,'highly skilled',no
197,'no checking','critical/other existing credit',radio/tv,1K<=X<2K,<100,1<=X<4,'female div/sep/mar',25<=X<30,skilled,yes
198,0<=X<200,paid,furniture,X<1K,100<=X<500,<1,'female div/sep/mar',25<=X<30,skilled,no
199,0<=X<200,paid,car,2K<=X<3K,0,>=7,'male single',30<=X<40,skilled,yes
200,0<=X<200,'delayed previously',furniture,4K<=X<5K,<100,>=7,'male div/sep',40<=X<50,'highly skilled',no
201,'no checking','critical/other existing credit',education,X<1K,500<=X<1000,>=7,'male single',X>=50,skilled,yes
202,<0,paid,car,1K<=X<2K,<100,1<=X<4,'male mar/wid',25<=X<30,unskilled,yes
203,'no checking','delayed previously',business,5K<=X<10K,<100,4<=X<7,'male single',25<=X<30,skilled,yes
204,<0,paid,other,X<1K,<100,4<=X<7,'male mar/wid',X<25,skilled,no
205,'no checking','critical/other existing credit',car,1K<=X<2K,<100,>=7,'male single',30<=X<40,unskilled,yes
206,<0,'critical/other existing credit',car,X>=10K,<100,>=7,'male single',30<=X<40,'highly skilled',yes
207,'no checking','critical/other existing credit',furniture,1K<=X<2K,<100,>=7,'male single',40<=X<50,skilled,yes
208,0<=X<200,'critical/other existing credit',furniture,1K<=X<2K,<100,4<=X<7,'male single',25<=X<30,skilled,yes
209,<0,paid,business,5K<=X<10K,<100,1<=X<4,'male mar/wid',X<25,unskilled,yes
210,'no checking',paid,car,1K<=X<2K,>=1000,4<=X<7,'male single',X>=50,skilled,yes
211,'no checking','critical/other existing credit',radio/tv,3K<=X<4K,0,1<=X<4,'male single',30<=X<40,skilled,yes
212,'no checking',paid,radio/tv,3K<=X<4K,0,>=7,'female div/sep/mar',40<=X<50,unskilled,yes
213,<0,paid,business,5K<=X<10K,<100,unemployed,'male single',X>=50,skilled,no
214,>=200,'delayed previously',business,1K<=X<2K,<100,>=7,'male single',X>=50,'highly skilled',no
215,'no checking','critical/other existing credit',radio/tv,3K<=X<4K,0,>=7,'male single',X>=50,skilled,yes
216,0<=X<200,'critical/other existing credit',other,X<1K,0,4<=X<7,'female div/sep/mar',30<=X<40,unskilled,yes
217,<0,paid,business,3K<=X<4K,<100,4<=X<7,'male single',30<=X<40,skilled,yes
218,>=200,paid,radio/tv,3K<=X<4K,<100,1<=X<4,'male single',X<25,skilled,yes
219,<0,paid,furniture,3K<=X<4K,<100,1<=X<4,'male div/sep',X<25,unskilled,yes
220,'no checking',paid,car,1K<=X<2K,<100,1<=X<4,'female div/sep/mar',X>=50,skilled,yes
221,0<=X<200,paid,radio/tv,X<1K,<100,<1,'male mar/wid',25<=X<30,unskilled,yes
222,<0,paid,education,1K<=X<2K,0,1<=X<4,'female div/sep/mar',X<25,skilled,yes
223,'no checking',paid,radio/tv,X<1K,<100,1<=X<4,'male single',30<=X<40,skilled,yes
224,'no checking','delayed previously',business,2K<=X<3K,0,1<=X<4,'male single',30<=X<40,skilled,yes
225,'no checking',paid,car,4K<=X<5K,<100,1<=X<4,'male single',30<=X<40,skilled,yes
226,'no checking',paid,repairs,2K<=X<3K,<100,1<=X<4,'male single',25<=X<30,skilled,yes
227,0<=X<200,paid,radio/tv,X>=10K,>=1000,4<=X<7,'male single',25<=X<30,skilled,no
228,<0,paid,furniture,5K<=X<10K,<100,>=7,'male single',X>=50,'highly skilled',no
229,'no checking',paid,radio/tv,1K<=X<2K,<100,4<=X<7,'male single',X<25,skilled,no
230,<0,paid,furniture,3K<=X<4K,<100,<1,'male single',X<25,skilled,yes
231,>=200,paid,radio/tv,4K<=X<5K,<100,1<=X<4,'male single',25<=X<30,skilled,no
232,'no checking',paid,car,2K<=X<3K,500<=X<1000,>=7,'male single',X>=50,unskilled,yes
233,'no checking',paid,radio/tv,2K<=X<3K,100<=X<500,4<=X<7,'male single',30<=X<40,skilled,yes
234,0<=X<200,paid,radio/tv,X<1K,<100,1<=X<4,'male mar/wid',25<=X<30,unskilled,yes
235,'no checking','critical/other existing credit',radio/tv,1K<=X<2K,<100,4<=X<7,'male single',40<=X<50,unskilled,yes
236,<0,paid,radio/tv,1K<=X<2K,<100,unemployed,'male single',30<=X<40,'highly skilled',no
237,0<=X<200,paid,car,X>=10K,0,unemployed,'male single',X<25,unskilled,no
238,0<=X<200,paid,business,2K<=X<3K,100<=X<500,>=7,'male div/sep',X>=50,unskilled,no
239,'no checking','critical/other existing credit',radio/tv,1K<=X<2K,<100,1<=X<4,'female div/sep/mar',30<=X<40,skilled,yes
240,<0,paid,radio/tv,2K<=X<3K,<100,>=7,'male single',30<=X<40,skilled,yes
241,<0,paid,car,X<1K,0,>=7,'female div/sep/mar',25<=X<30,skilled,no
242,'no checking',paid,radio/tv,1K<=X<2K,<100,4<=X<7,'male single',X>=50,skilled,yes
244,'no checking','critical/other existing credit',business,1K<=X<2K,<100,1<=X<4,'female div/sep/mar',25<=X<30,skilled,yes
245,'no checking',paid,other,3K<=X<4K,500<=X<1000,1<=X<4,'female div/sep/mar',30<=X<40,unskilled,yes
246,'no checking',paid,business,1K<=X<2K,<100,4<=X<7,'male single',25<=X<30,skilled,yes
247,'no checking','critical/other existing credit',radio/tv,X<1K,<100,>=7,'male single',X>=50,skilled,yes
248,'no checking',paid,car,1K<=X<2K,100<=X<500,1<=X<4,'male single',30<=X<40,skilled,yes
249,>=200,paid,furniture,1K<=X<2K,<100,1<=X<4,'male single',25<=X<30,skilled,yes
250,'no checking',paid,radio/tv,X<1K,<100,unemployed,'female div/sep/mar',X<25,skilled,no
